"country"	"danceability"	"energy"	"loudness"	"speechiness"	"acousticness"	"instrumentalness"	"liveness"	"valence"	"tempo"	"track.duration_ms"
"123"	"Turkey80s"	0.419	0.695	-5.497	0.0558	0.766	0.000254	0.357	0.715	176.554	193666
"124"	"Turkey80s"	0.319	0.566	-9.925	0.104	0.125	6.48e-06	0.349	0.35	100.274	287400
"125"	"Turkey80s"	0.325	0.557	-8.974	0.0498	0.85	0	0.238	0.429	69.835	343106
"126"	"Turkey80s"	0.378	0.569	-11.009	0.0522	0.341	3.2e-06	0.0627	0.608	172.923	291466
"127"	"Turkey80s"	0.525	0.755	-6.603	0.0697	0.532	5.83e-05	0.323	0.638	120.258	212439
"128"	"Turkey80s"	0.353	0.672	-5.795	0.04	0.317	3.05e-05	0.0962	0.523	168.299	269640
"129"	"Turkey80s"	0.541	0.183	-19.554	0.0384	0.685	2.96e-05	0.0989	0.275	113.575	256859
"130"	"Turkey80s"	0.484	0.813	-7.252	0.0609	0.0116	0	0.139	0.8	121.327	250333
"131"	"Turkey80s"	0.411	0.447	-9.374	0.0338	0.881	0	0.394	0.55	116.088	349520
"132"	"Turkey80s"	0.51	0.485	-10.475	0.0453	0.372	0	0.298	0.473	94.091	148160
"133"	"Turkey80s"	0.478	0.345	-8.609	0.0348	0.811	9.55e-06	0.121	0.182	105.768	209733
"134"	"Turkey80s"	0.274	0.399	-8.009	0.0353	0.685	8.33e-05	0.232	0.374	168.274	239933
"135"	"Turkey80s"	0.525	0.193	-18.782	0.0333	0.68	0	0.147	0.462	94.389	238533
"136"	"Turkey80s"	0.576	0.263	-17.049	0.0373	0.799	0.00702	0.118	0.617	82.46	207447
"137"	"Turkey80s"	0.773	0.458	-11.081	0.197	0.591	8.36e-05	0.381	0.968	95.414	192654
"138"	"Turkey80s"	0.332	0.399	-15.233	0.0857	0.643	0	0.0724	0.572	173.138	247286
"139"	"Turkey80s"	0.192	0.528	-6.472	0.0349	0.731	0	0.101	0.227	74.72	238573
"140"	"Turkey80s"	0.336	0.231	-16.042	0.0357	0.933	0.000217	0.165	0.118	102.21	268200
"141"	"Turkey80s"	0.626	0.294	-10.123	0.031	0.766	0.0348	0.11	0.341	135.031	157775
"142"	"Turkey80s"	0.312	0.423	-13.788	0.122	0.542	0	0.0994	0.326	81.328	188293
"143"	"Turkey80s"	0.652	0.555	-9.422	0.051	0.0284	0	0.104	0.602	115.686	178679
"144"	"Turkey80s"	0.524	0.929	-4.179	0.106	0.753	0.0117	0.439	0.611	133.463	222983
"145"	"Turkey80s"	0.585	0.504	-9.197	0.0324	0.739	0	0.553	0.715	123.149	177569
"146"	"Turkey80s"	0.554	0.368	-20.138	0.0692	0.273	0	0.295	0.334	159.417	196704
"147"	"Turkey80s"	0.452	0.59	-8.036	0.0648	0.51	0	0.2	0.708	92.177	249453
"148"	"Turkey80s"	0.524	0.37	-14.946	0.1	0.417	1.07e-05	0.161	0.176	144.03	276933
"149"	"Turkey80s"	0.581	0.564	-8.388	0.0335	0.19	3.83e-06	0.331	0.634	141.609	335533
"150"	"Turkey90s"	0.702	0.531	-8.167	0.0486	0.362	0	0.1	0.761	92.976	228826
"151"	"Turkey90s"	0.798	0.587	-12.339	0.0583	0.345	0	0.134	0.431	128.997	287866
"152"	"Turkey90s"	0.723	0.942	-7.141	0.169	0.435	0	0.151	0.66	114.943	210840
"153"	"Turkey90s"	0.528	0.403	-10.816	0.0286	0.8	2.49e-05	0.146	0.291	109.964	288773
"154"	"Turkey90s"	0.834	0.772	-12.436	0.107	0.149	0	0.0276	0.942	103.068	258906
"155"	"Turkey90s"	0.682	0.426	-14.208	0.0993	0.371	0	0.0863	0.922	87.88	233613
"156"	"Turkey90s"	0.752	0.814	-6.787	0.103	0.0315	2.64e-06	0.0858	0.762	119.026	250306
"157"	"Turkey90s"	0.702	0.874	-9.863	0.0601	0.168	2.15e-05	0.129	0.87	95.036	236360
"158"	"Turkey90s"	0.858	0.501	-8.946	0.0646	0.206	1.46e-05	0.045	0.916	112.134	147026
"159"	"Turkey90s"	0.612	0.876	-5.993	0.0457	0.174	1.2e-06	0.116	0.955	92.13	185264
"160"	"Turkey90s"	0.552	0.706	-8.785	0.0444	0.0796	0	0.046	0.391	79.991	260066
"161"	"Turkey90s"	0.658	0.582	-13.577	0.0658	0.0301	0	0.0708	0.811	134.368	269160
"162"	"Turkey90s"	0.808	0.518	-13.144	0.0301	0.556	3.52e-06	0.2	0.871	123.894	223000
"163"	"Turkey90s"	0.556	0.541	-9.265	0.0267	0.0661	0	0.0894	0.455	82.033	288080
"164"	"Turkey90s"	0.475	0.343	-14.213	0.0299	0.189	0	0.367	0.384	80.038	280000
"165"	"Turkey90s"	0.524	0.565	-13.679	0.204	0.337	0	0.103	0.341	104.999	292426
"166"	"Turkey90s"	0.714	0.632	-7.014	0.0504	0.396	2.81e-06	0.0584	0.746	91.978	260666
"167"	"Turkey90s"	0.76	0.73	-11.125	0.136	0.194	0	0.0367	0.942	148.077	229773
"168"	"Turkey90s"	0.712	0.417	-16.229	0.0779	0.446	0.000275	0.0956	0.776	90.053	236640
"169"	"Turkey90s"	0.668	0.697	-12.993	0.0346	0.0249	0	0.236	0.671	132.055	227066
"170"	"Turkey90s"	0.666	0.454	-14.869	0.0321	0.453	1.6e-05	0.101	0.803	92.058	277866
"171"	"Turkey90s"	0.678	0.871	-8.362	0.0961	0.468	1.07e-06	0.035	0.946	135.992	261093
"172"	"Turkey90s"	0.557	0.702	-9.006	0.0412	0.0471	7.5e-06	0.21	0.633	149.891	301813
"173"	"Turkey90s"	0.652	0.706	-13.407	0.0436	0.0158	0	0.0843	0.892	91.024	235171
"174"	"Turkey90s"	0.489	0.331	-11.098	0.0384	0.645	0	0.225	0.509	137.396	295226
"175"	"Turkey90s"	0.526	0.936	-10.295	0.0616	0.379	3.14e-05	0.0653	0.966	185.368	322666
"176"	"Turkey90s"	0.736	0.752	-12.295	0.0509	0.101	0	0.0524	0.874	92.005	222333
"177"	"Turkey90s"	0.643	0.648	-12.451	0.0313	0.0587	0	0.102	0.828	96.187	172133
"178"	"Turkey90s"	0.689	0.757	-11.455	0.178	0.0648	4.82e-06	0.0903	0.914	129.616	248842
"179"	"Turkey90s"	0.745	0.649	-8.681	0.0357	0.364	0	0.18	0.963	96.216	169795
"180"	"Turkey90s"	0.667	0.568	-9.659	0.0417	0.332	0	0.102	0.641	88.996	244533
"181"	"Turkey90s"	0.689	0.493	-9.084	0.0309	0.585	0	0.102	0.449	112.042	226400
"182"	"Turkey90s"	0.444	0.324	-18.183	0.0482	0.194	0	0.0667	0.471	190.971	297533
"183"	"Turkey90s"	0.743	0.613	-14.639	0.0419	0.447	5.06e-06	0.139	0.9	95.986	267990
"184"	"Turkey90s"	0.646	0.373	-12.727	0.0274	0.815	0.00523	0.0858	0.282	113.663	292733
"185"	"Turkey90s"	0.529	0.608	-8.007	0.0426	0.714	1.06e-06	0.0857	0.38	135.999	324760
"186"	"Turkey90s"	0.574	0.215	-16.316	0.0327	0.866	1.3e-06	0.127	0.294	95.742	267533
"187"	"Turkey90s"	0.697	0.286	-14.804	0.0377	0.587	5.95e-06	0.0871	0.428	80.14	273920
"188"	"Turkey90s"	0.392	0.952	-6.554	0.327	0.262	0	0.328	0.579	169.084	262000
"189"	"Turkey90s"	0.556	0.388	-15.34	0.174	0.544	0	0.151	0.63	119.813	213028
"190"	"Turkey90s"	0.495	0.887	-6.777	0.233	0.625	0	0.321	0.661	182.236	270426
"191"	"Turkey90s"	0.685	0.639	-9.558	0.0494	0.621	3.76e-06	0.0748	0.698	101.945	333717
"192"	"Turkey90s"	0.702	0.663	-10.365	0.0655	0.109	0	0.0509	0.579	100.03	292000
"193"	"Turkey90s"	0.582	0.734	-6.757	0.0446	0.488	2.26e-06	0.0693	0.704	80.064	277342
"194"	"Turkey90s"	0.745	0.637	-8.031	0.0354	0.208	0	0.09	0.855	133.969	252253
"195"	"Turkey90s"	0.355	0.392	-5.323	0.0295	0.896	0.000137	0.34	0.218	150.354	227120
"196"	"Turkey90s"	0.591	0.475	-14.165	0.0442	0.11	0	0.602	0.853	170.054	221100
"197"	"Turkey90s"	0.726	0.639	-9.457	0.0772	0.595	0	0.287	0.628	143.991	251425
"198"	"Turkey90s"	0.403	0.369	-13.828	0.0496	0.627	0	0.133	0.394	79.389	278933
"199"	"Turkey90s"	0.741	0.718	-6.429	0.125	0.562	0	0.269	0.852	96.069	217573
"200"	"Turkey2000s"	0.724	0.833	-5.863	0.101	0.611	0	0.168	0.92	120.054	200960
"201"	"Turkey2000s"	0.548	0.532	-8.758	0.0264	0.115	1.42e-05	0.125	0.369	124.053	266186
"202"	"Turkey2000s"	0.46	0.783	-3.28	0.0393	0.184	0	0.314	0.508	155.924	254026
"203"	"Turkey2000s"	0.588	0.774	-4.099	0.0709	0.144	0	0.221	0.546	89.983	240187
"204"	"Turkey2000s"	0.651	0.624	-9.199	0.0373	0.0284	0	0.128	0.255	122.012	288680
"205"	"Turkey2000s"	0.769	0.621	-8.958	0.193	0.0411	0.000107	0.282	0.4	93.972	295826
"206"	"Turkey2000s"	0.67	0.807	-6.305	0.0558	0.127	0	0.138	0.901	86.035	229511
"207"	"Turkey2000s"	0.455	0.592	-9.342	0.0389	0.0818	0.00221	0.2	0.499	171.937	393531
"208"	"Turkey2000s"	0.711	0.744	-6.842	0.0307	0.226	0.000549	0.249	0.888	127.035	250293
"209"	"Turkey2000s"	0.709	0.8	-6.198	0.0578	0.288	4.62e-06	0.148	0.828	95.993	235773
"210"	"Turkey2000s"	0.568	0.531	-9.676	0.0449	0.464	1.87e-05	0.103	0.494	83.987	214180
"211"	"Turkey2000s"	0.592	0.56	-10.235	0.0553	0.343	4.29e-06	0.11	0.457	80.072	200320
"212"	"Turkey2000s"	0.756	0.639	-5.93	0.0631	0.000859	3.81e-06	0.0498	0.961	101.02	232280
"213"	"Turkey2000s"	0.475	0.85	-6.435	0.0405	0.00865	5.85e-05	0.315	0.597	149.969	175666
"214"	"Turkey2000s"	0.745	0.934	-6.57	0.0498	0.00212	0.0237	0.593	0.629	119.985	237240
"215"	"Turkey2000s"	0.63	0.868	-5.275	0.0286	0.0307	2.95e-06	0.246	0.568	135	236040
"216"	"Turkey2000s"	0.435	0.469	-7.855	0.0435	0.505	1.66e-06	0.115	0.321	80.124	264228
"217"	"Turkey2000s"	0.436	0.394	-8.05	0.0337	0.813	0	0.112	0.572	169.891	201973
"218"	"Turkey2000s"	0.687	0.641	-9.21	0.0296	0.215	0	0.0794	0.805	145.004	238050
"219"	"Turkey2000s"	0.627	0.538	-6.79	0.0246	0.459	0	0.123	0.204	100.038	270280
"220"	"Turkey2000s"	0.586	0.89	-1.988	0.0369	0.012	0.00508	0.114	0.426	119.062	204320
"221"	"Turkey2000s"	0.264	0.482	-7.711	0.0372	0.461	6.42e-05	0.151	0.185	51.722	284398
"222"	"Turkey2000s"	0.679	0.837	-6.812	0.0408	0.116	0.00502	0.133	0.797	97.011	196066
"223"	"Turkey2000s"	0.695	0.725	-7.985	0.0372	0.455	5.51e-06	0.16	0.536	98.969	225990
"224"	"Turkey2000s"	0.598	0.7	-9.757	0.128	0.141	1.24e-05	0.0535	0.777	180.013	231800
"225"	"Turkey2000s"	0.766	0.852	-6.125	0.0426	0.0962	1.85e-05	0.125	0.824	103.03	228386
"226"	"Turkey2000s"	0.49	0.559	-6.396	0.146	0.685	0	0.118	0.298	78.253	247546
"227"	"Turkey2000s"	0.804	0.638	-6.696	0.0709	0.00207	0.00322	0.132	0.734	129.832	252333
"228"	"Turkey2000s"	0.635	0.814	-7.595	0.0432	0.137	0.00136	0.345	0.641	152.013	443893
"229"	"Turkey2000s"	0.552	0.816	-5.097	0.108	0.15	0	0.116	0.417	146.016	322600
"230"	"Turkey2000s"	0.749	0.639	-5.689	0.0265	0.441	1.97e-06	0.129	0.41	110.02	323407
"231"	"Turkey2000s"	0.656	0.631	-7.758	0.0472	0.313	2.06e-06	0.352	0.622	84.008	215144
"232"	"Turkey2000s"	0.776	0.731	-6.718	0.206	0.182	0	0.323	0.597	93.998	301960
"233"	"Turkey2000s"	0.616	0.376	-8.898	0.0239	0.524	0.000821	0.0831	0.0883	105.026	253973
"234"	"Turkey2000s"	0.553	0.544	-6.867	0.0263	0.242	0	0.111	0.484	91.941	274041
"235"	"Turkey2000s"	0.518	0.676	-5.382	0.0272	0.168	1.24e-06	0.436	0.6	100.056	269506
"236"	"Turkey2000s"	0.613	0.818	-3.651	0.129	0.0733	7.61e-06	0.0471	0.711	79.987	202426
"237"	"Turkey2000s"	0.639	0.852	-7.941	0.0472	0.0146	0.000396	0.162	0.775	132.946	284466
"238"	"Turkey2000s"	0.637	0.614	-6.125	0.0896	0.372	0	0.326	0.711	81.954	237786
"239"	"Turkey2000s"	0.724	0.779	-6.831	0.04	0.0136	7.07e-05	0.105	0.767	125.012	225386
"240"	"Turkey2000s"	0.714	0.814	-7.01	0.0295	0.00136	0.000103	0.0808	0.439	125.009	298346
"241"	"Turkey2000s"	0.703	0.675	-8.347	0.0645	0.0867	0	0.185	0.627	94.017	279875
"242"	"Turkey2000s"	0.682	0.661	-8.997	0.0554	0.308	4.52e-05	0.0742	0.65	92.032	249939
